"","Player","ORPM","DRPM","RPM","Possessions","year"
"310","Terry Mills","-1.3","-0.5","-1.8","3242.0",1991
"311","Reggie Theus","-0.6","-1.2","-1.8","12548.0",1991
"312","Rumeal Robinson","-1.0","-0.8","-1.8","3154.0",1991
"313","Kiki Vandeweghe","0.6","-2.4","-1.8","10690.0",1991
"314","Morlon Wiley","0.1","-1.9","-1.8","1262.0",1991
"315","Gerald Wilkins","-0.8","-1.1","-1.9","9164.0",1991
"316","Rickey Green","-0.3","-1.5","-1.9","11396.0",1991
"317","Adrian Caldwell","-2.5","0.7","-1.9","1266.0",1991
"318","John Battle","0.6","-2.5","-1.9","6476.0",1991
"319","Mychal Thompson","-2.2","0.3","-1.9","3928.0",1991
"320","J.R. Reid","-2.6","0.6","-1.9","11126.0",1991
"321","Mookie Blaylock","-2.1","0.2","-2.0","10898.0",1991
"322","James Edwards","-1.7","-0.2","-2.0","10010.0",1991
"323","Dennis Hopson","-1.3","-0.7","-2.0","2620.0",1991
"324","Terry Catledge","-1.1","-1.0","-2.0","6144.0",1991
"325","Blue Edwards","-1.7","-0.3","-2.0","8964.0",1991
"326","Anthony Bonner","-1.3","-0.8","-2.0","2626.0",1991
"327","Tony Smith","-0.8","-1.3","-2.0","2620.0",1991
"328","Dave Greenwood","-2.7","0.6","-2.1","4064.0",1991
"329","Ralph Sampson","-3.1","1.0","-2.1","1264.0",1991
"330","Bob Hansen","-0.7","-1.4","-2.1","3480.0",1991
"331","Brian Quinnett","-0.1","-2.0","-2.2","3434.0",1991
"332","Willie Burton","-1.3","-0.8","-2.2","7416.0",1991
"333","Rory Sparrow","-1.3","-0.9","-2.2","10438.0",1991
"334","Eric Leckner","-2.8","0.6","-2.2","3574.0",1991
"335","Dwayne Schintzius","-3.2","1.0","-2.2","1742.0",1991
"336","Billy Thompson","-2.0","-0.3","-2.3","6912.0",1991
"337","Wayman Tisdale","-1.5","-0.8","-2.3","4596.0",1991
"338","Ron Anderson","-1.2","-1.1","-2.3","7984.0",1991
"339","Duane Ferrell","-0.7","-1.6","-2.3","4106.0",1991
"340","Jud Buechler","-1.6","-0.7","-2.3","3298.0",1991
"341","Bimbo Coles","-1.1","-1.2","-2.3","4994.0",1991
"342","Sidney Green","-2.3","-0.1","-2.3","4120.0",1991
"343","Danny Ferry","-0.7","-1.7","-2.3","5236.0",1991
"344","Brad Davis","-0.9","-1.5","-2.4","4746.0",1991
"345","Sam Vincent","-0.8","-1.5","-2.4","3914.0",1991
"346","Chucky Brown","-1.2","-1.3","-2.4","7072.0",1991
"347","Joe Kleine","-2.3","-0.2","-2.5","3450.0",1991
"348","Gerald Glass","-0.1","-2.4","-2.5","2172.0",1991
"349","Gerald Henderson","-0.5","-2.0","-2.5","1970.0",1991
"350","Winston Bennett","-1.2","-1.3","-2.5","1626.0",1991
"351","Jeff Martin","-0.6","-1.9","-2.5","5654.0",1991
"352","Derrick Gervin","-0.9","-1.6","-2.6","2828.0",1991
"353","Loy Vaught","-2.0","-0.6","-2.6","4096.0",1991
"354","Greg Foster","-2.0","-0.5","-2.6","2284.0",1991
"355","Jerrod Mustaf","-2.3","-0.3","-2.6","2926.0",1991
"356","Ledell Eackles","-0.2","-2.5","-2.7","5858.0",1991
"357","Michael Smith","0.7","-3.4","-2.7","1712.0",1991
"358","Richard Coffey","-1.3","-1.5","-2.8","1262.0",1991
"359","Jeff Malone","-1.0","-1.8","-2.9","11610.0",1991
"360","Brian Oliver","-1.4","-1.5","-2.9","2856.0",1991
"361","Randolph Keys","-2.7","-0.2","-2.9","1640.0",1991
"362","Jeff Turner","-2.3","-0.6","-2.9","7412.0",1991
"363","Mark Alarie","-1.4","-1.5","-2.9","1996.0",1991
"364","Dave Feitl","-2.7","-0.2","-2.9","1446.0",1991
"365","Ken Bannister","-2.6","-0.5","-3.0","1444.0",1991
"366","Tate George","-0.6","-2.4","-3.1","2758.0",1991
"367","Marcus Liberty","-1.2","-1.8","-3.1","5336.0",1991
"368","Kennard Winchester","-1.2","-2.1","-3.3","2292.0",1991
"369","Bo Kimble","-1.6","-1.8","-3.4","4366.0",1991
"370","Alec Kessler","-3.1","-0.2","-3.4","5124.0",1991
"371","Joe Wolf","-2.3","-1.1","-3.4","7832.0",1991
"372","Kevin Pritchard","-1.7","-1.6","-3.4","2938.0",1991
"373","Alex English","-2.0","-1.4","-3.4","6588.0",1991
"374","Mike Sanders","-2.1","-1.5","-3.6","4836.0",1991
"375","Walter Davis","-0.8","-2.8","-3.6","6728.0",1991
"376","Jim Farmer","-0.9","-2.8","-3.7","1670.0",1991
"377","Tom Hammonds","-2.5","-1.3","-3.8","3582.0",1991
"378","Randy Wittman","-2.1","-1.7","-3.8","1310.0",1991
"379","A.J. English","-1.3","-2.6","-3.8","5116.0",1991
"380","Jayson Williams","-2.6","-1.4","-3.9","1828.0",1991
"381","David Wingate","-2.6","-1.3","-3.9","1912.0",1991
"382","Rick Calloway","-2.4","-1.5","-3.9","2284.0",1991
"383","Terry Teagle","-1.5","-2.5","-4.0","5606.0",1991
"384","Gerald Paddio","-1.1","-2.8","-4.0","4744.0",1991
"385","Kenny Payne","-2.3","-1.9","-4.2","1798.0",1991
"386","Sean Higgins","-1.7","-2.8","-4.5","1852.0",1991
"387","Larry Robinson","-2.5","-2.1","-4.6","2006.0",1991
"388","Mahmoud Abdul-Rauf","-2.0","-4.2","-6.1","6422.0",1991
"389","David Robinson","1.8","7.1","8.9","10500.0",1992
"390","John Stockton","5.7","0.8","6.5","14506.0",1992
"391","Hakeem Olajuwon","0.0","6.3","6.3","10464.0",1992
"392","Clyde Drexler","4.7","0.4","5.1","14894.0",1992
"393","Michael Jordan","3.8","1.1","4.9","15018.0",1992
"394","Mark Price","6.7","-2.3","4.4","12306.0",1992
"395","Karl Malone","2.3","2.0","4.3","14494.0",1992
"396","Horace Grant","1.7","2.5","4.3","14794.0",1992
"397","Charles Barkley","3.4","0.8","4.2","11320.0",1992
"398","Patrick Ewing","-0.1","4.4","4.2","13696.0",1992
"399","Larry Nance","0.9","3.2","4.1","14220.0",1992
"400","Brad Daugherty","1.9","1.9","3.8","13388.0",1992
"401","Larry Bird","3.4","0.3","3.7","7002.0",1992
"402","Scottie Pippen","1.8","1.8","3.7","15522.0",1992
"403","Terry Porter","4.6","-1.0","3.6","15178.0",1992
"404","Dennis Rodman","-0.5","3.9","3.4","12822.0",1992
"405","Hot Rod Williams","0.8","2.4","3.2","9068.0",1992
"406","Tim Hardaway","4.3","-1.3","3.0","14452.0",1992
"407","Shawn Kemp","0.5","2.3","2.9","7760.0",1992
"408","Chris Dudley","-1.6","4.5","2.8","7422.0",1992
"409","Kevin Johnson","3.1","-0.4","2.7","13468.0",1992
"410","Reggie Miller","3.9","-1.2","2.6","13302.0",1992
"411","Nate McMillan","1.5","1.1","2.6","7176.0",1992
"412","Michael Adams","4.3","-1.8","2.6","11884.0",1992
"413","Dominique Wilkins","4.0","-1.5","2.5","6438.0",1992
"414","Micheal Williams","1.5","0.9","2.4","12346.0",1992
"415","Andrew Lang","-1.8","4.0","2.2","10834.0",1992
"416","Ed Pinckney","0.8","1.5","2.2","8912.0",1992
"417","Hersey Hawkins","2.6","-0.5","2.1","12060.0",1992
"418","Brad Lohaus","1.6","0.5","2.1","3822.0",1992
"419","Mark Eaton","-3.1","5.2","2.1","11828.0",1992
"420","Charles Smith","-0.3","2.4","2.0","5766.0",1992
